geometry,OBJECTID,NAME,LABEL,Shape_Length
"LINESTRING (66.543999 86.654999, 66.301003 86.606003)",1,Eurasian:North American,Transform Boundary,0.24788659873982133
"LINESTRING (46.063 86.598, 47.522999 86.640999, 50.77 86.706001, 54.561001 86.746002, 58.018002 86.787003, 61.506001 86.805, 62.463001 86.754997, 66.543999 86.654999)",2,Eurasian:North American,Divergent Boundary,20.485313628715176
"LINESTRING (46.313999 86.560997, 46.063 86.598)",3,Eurasian:North American,Transform Boundary,0.2537122665079063
"LINESTRING (66.301003 86.606003, 70.089485 86.403961)",4,Eurasian:North American,Divergent Boundary,3.7938663293590973
"LINESTRING (9.809 84.958, 10.659 85.067001, 11.704 85.137001, 13.242 85.280998, 14.666 85.379997, 16.063 85.485001, 17.889999 85.591003, 19.285 85.683998, 21.343 85.799004, 23.347 85.817001, 25.382999 85.859001, 27.427 85.866997, 28.143 85.874001, 29.229 85.809998, 30.972 85.907997, 33.34 86.053001, 35.606998 86.161003, 38.300999 86.291, 41.756001 86.431999, 43.479 86.496002, 46.313999 86.560997)",5,Eurasian:North American,Divergent Boundary,36.55793671440972
"LINESTRING (8.938 85.009003, 9.809 84.958)",6,Eurasian:North American,Transform Boundary,0.8724922690666614
"LINESTRING (4.508 84.57, 5.177 84.632004, 6.665 84.762001, 8.134 84.898003, 8.938 85.009003)",7,Eurasian:North American,Divergent Boundary,4.4524430459858735
"LINESTRING (4.035 84.597, 4.508 84.57)",8,Eurasian:North American,Transform Boundary,0.47377006043655356
"LINESTRING (-7.212 82.867996, -6.234 83, -5.154 83.249001, -4.148 83.43, -3.204 83.57, -2.363 83.690002, -1.206 83.863998, -0.469 83.996002, 0.405 84.101997, 1.301 84.223, 2.235 84.343002, 3.024 84.461998, 3.848 84.560997, 4.035 84.597)",9,Eurasian:North American,Divergent Boundary,11.384433402950544
"LINESTRING (-5.865 82.691002, -7.212 82.867996)",10,Eurasian:North American,Transform Boundary,1.3585787870042192
"LINESTRING (-5.01 82.518997, -5.865 82.691002)",11,Eurasian:North American,Divergent Boundary,0.8721294818858994
"LINESTRING (-3.7 82.328003, -5.01 82.518997)",12,Eurasian:North American,Transform Boundary,1.3238501742854765
"LINESTRING (-4.641 81.370003, -4.152 81.552002, -3.909 81.620003, -5.033 81.913002, -4.537 82.050003, -3.796 82.290001, -3.7 82.328003)",13,Eurasian:North American,Divergent Boundary,3.3323847901738883
"LINESTRING (-2.414 81.125999, -3.454 81.250999, -4.641 81.370003)",14,Eurasian:North American,Transform Boundary,2.2404352976973607
"LINESTRING (-3.364 80.792, -2.779 80.992996, -2.414 81.125999)",15,Eurasian:North American,Divergent Boundary,1.0070441942250368
"LINESTRING (-1.684 80.625, -2.942 80.755997, -3.364 80.792)",16,Eurasian:North American,Transform Boundary,1.6883351078506237
"LINESTRING (-2.341 80.370003, -1.684 80.625)",17,Eurasian:North American,Divergent Boundary,0.7047500868214986
"LINESTRING (4.39 79.532997, 3.296 79.657997, 2.378 79.779999, 1.487 79.908997, 0.628 80.026001, -0.251 80.141998, -0.969 80.212997, -1.766 80.308998, -2.341 80.370003)",18,Eurasian:North American,Transform Boundary,6.783521719463076
"LINESTRING (3.432 79.029999, 3.901 79.227997, 4.39 79.532997)",19,Eurasian:North American,Divergent Boundary,1.0854029612036462
"LINESTRING (7.785 78.235001, 6.776 78.444, 5.592 78.640999, 4.691 78.806, 3.857 78.949997, 3.432 79.029999)",20,Eurasian:North American,Transform Boundary,4.425482914049376
"LINESTRING (70.089485 86.403961, 70.926003 86.203003, 72.984001 86.106003, 75.028999 85.988998, 76.325996 85.917, 78.403 85.767998, 81.102997 85.639, 83.142998 85.556, 84.802002 85.5, 86.802002 85.417999, 88.486 85.346001, 89.980003 85.295998, 92.313004 85.228996, 94.154999 85.154999, 95.838997 85.101997, 97.273003 85.028, 98.568001 84.959999, 99.444 84.911003, 102.917999 84.664001, 103.943001 84.578003, 105.302002 84.485001, 106.759003 84.369003, 107.709 84.294998, 108.939003 84.194, 109.726997 84.110001, 110.959 83.964996, 111.973999 83.823997, 112.843002 83.674004, 113.723 83.512001, 114.557999 83.320999, 115.258003 83.151001, 115.792999 83.014, 116.582001 82.739998, 117.170998 82.539001, 117.660768 82.343451, 117.85783 82.281137, 118.999718 82.09392, 119.268654 81.993132, 119.984001 81.595001, 121.003998 81.114998, 121.898003 80.642998, 122.639 80.206001, 123.407997 79.759003, 125.011178 79.066391, 125.148128 78.994283, 125.283716 78.822939, 125.580641 78.304681, 125.70109 78.174056)",21,Eurasian:North American,Divergent Boundary,57.13234955241818
